# tools/ci-expected.tsv -- the allow-list `tools/ci-census.py` checks a build against.
#
# One row per allowed skip. Tab separated:
#
#
# not-run-total: 455
#
#   452 -> 455 on 2026-08-30 (ninth session): `flashwin` arrives at 13 with one
#   allowed skip covering 3. Its ten synthetic controls -- the rendering, the
#   endianness mutant, the publication guard in all three directions, the
#   half-open overlap boundary and its off-by-one mutant -- run anywhere; R1-R3
#   read this unit's own 4 MiB flash dump, which can never be committed. 量
#   2026-08-30 with $FWRE_WORK pointed at an empty directory: 10 ok / 0 FAIL /
#   1 skip line covering 3, which closes against 13.
#
#   UNCHANGED on 2026-08-30 (ninth session) although `test-console-capture`
#   grew 29 -> 40: every one of the eleven new cases drives a pty, and the
#   guard and metadata cases need no device, no vendor artefact and no
#   toolchain. So the suite adds 11 to the RUN total and 0 to this one.
#   Written down for the same reason the line below is: a session that changes
#   a suite and does not move this number looks exactly like a session that
#   forgot to.
#
#   UNCHANGED on 2026-08-29 (seventh session) although a suite arrived:
#   `check-predictions` is 6 cases, all of which run on a stock runner --
#   every fixture is a temporary directory the controls build themselves, and
#   nothing in it reads $FWRE_WORK, bench/ or a vendor artefact. So it adds 6
#   to the run total and 0 to this one. Written down because a session that
#   adds a suite and does not move this number looks exactly like a session
#   that forgot to.
#
#   406 -> 452 on 2026-08-29 (sixth session), and it is 406 + 18 + 28:
#   `test-rtkimage` arrives at 32 with one allowed skip covering 18 (the GPL
#   drop), and `test-hazlint-objs` arrives at 28 and is *bench-only* for the
#   same reason `test-hazlint` is -- every one of its cases drives `hazlint`,
#   which refuses without `$FWRE_WORK/stage2.bin`. `test-deskchan` arrives at
#   18 and adds NOTHING here, because CI installs `qemu-system-mips` and the
#   suite then runs in full. ⚠️ This delta is arithmetic against the previous
#   measured value, not a fresh runner measurement: 量 2026-08-29 covers the
#   three new rows only (18 + 28 not run, checked with `--only`), and the 406
#   it is added to was measured on 2026-08-28/29.
#   The number ci-census prints as "NOT RUN IN THIS JOB", declared here so
#   that it is CHECKED rather than restated in a comment. 2026-08-29: the
#   green run of 2026-08-28 14:18 printed 373 while .github/workflows/ci.yml
#   said 362 -- wrong by 11, in the file whose own header spends forty lines
#   warning about a number that was true once. Nothing compared them.
#   373 -> 406 is test-hazlint 109 -> 142 (TC-j).
#
#   suite   bench_total   allowed_skip_label   covers   reason
#
# `bench_total` is the number of cases the suite prints WHEN EVERYTHING IT NEEDS
# IS PRESENT -- measured on the bench machine, not read off the source.
# `covers` is how many cases that one skip LINE stands for, and it is
# the field that matters: on a stock runner `tools/test-hazlint.sh` prints eight
# skip lines standing for twenty-five cases, and a census that counted lines
# would have reported eight.
#
# A suite with nothing to skip gets one row with `-` and 0.
# A suite CI does not run at all is marked `*bench-only*`, and its whole total
# counts as not run. It is listed rather than omitted because a suite nobody
# lists is a suite nobody misses.
#
# 2026-08-28 (fourth session): `kconfig-delta` (22), `mkinitramfs` (19) and
# `test-config-gates` (48, was 34) arrive with R3-4.  All three run on a clean clone --
# every control in the two tools is built on synthetic .config and declaration
# text, and the seven cases that are not are the E-block of test-config-gates,
# which reads the vendor template and this unit's own rootfs.  Read the note on
# `mkinitramfs` below: its A7 has no allowed skip on purpose.
#
# 2026-08-28: test-opcount 15 -> 24, test-hazlint 96 -> 109, and test-isa-probe
# arrives at 40. All three come out of `R2a/b/d-2`, and the one worth reading is
# hazlint's: the tool had been scanning a MIPS16 region four bytes at a time, so
# the cases added are a REFUSAL and its two mutations rather than more coverage of
# what it already did. test-isa-probe's A1 is the same shape one level up -- it
# asserts that a missing toolchain produces no table at all.
#
# 2026-08-27: test-hazlint 56 -> 96 and test-rlxprobe 195 -> 202, both from the
# COP3 correction in hazlint 1.2. Note what did NOT move: no violation count on
# any artefact in this tree changed, on either tool, before or after. The whole
# of the delta is controls and mutations -- which is the only way a fix that
# moves no number can be shown to have been a fix at all.
#
# 2026-08-26: spec-check went 10 -> 11 when it gained C8 and a ninth mutation.
# Caught by running ci-census against a fresh spec-check.out BEFORE the push --
# the second time a number in this repository would have been contradicted by
# the very next build (the first was ci.yml's own header, 2026-08-25).
#
# 2026-08-27 (second session): binsim arrives with two rows. `binsim` is the
# tool's own --self-test, twenty-three controls, none of which needs a vendor binary
# -- deliberately, because hazlint is *bench-only* for exactly the opposite
# reason and that means CI runs zero hazlint cases. `test-binsim` is 71 on the
# bench and 63 on a runner; the eight that stand down are the ones that read the
# six vendor trees. That eight was SEVEN when this row was first written, and
# the arithmetic here is what said so -- 48 + 7 = 55 against a bench total of 56,
# one short, because the section it stands for had eight cases and not seven.
# The suite was 56 then and is 65 now: `--fingerprint` turned out to have no case
# at all (seven added), and E0 -- the corpus's one-ISA membership rule -- got two
# more when a 2025 MediaTek image raised the question of a seventh tree; then 65 ->
# 71 when an adversarial review found three surviving mutants and a manifest no
# runner could reach.
#
# 2026-08-27 (third session), R2a/b/d-1: binsim 23 -> 24 and test-binsim 71 -> 96.
# The gate's step replaced the plan's refuted `@floor`, and the count is what
# that cost. Two things drive it.
#
# One: the real corpus stopped taking the REFUTED branch, and that branch had
# no fixture anywhere else -- a verdict that has stopped firing is not one that
# has been satisfied, it is one nobody is watching. So the verdict became a
# function (`floor_verdict`), `D5` drives it in both directions AND varies its
# second argument, `M11` inverts it, `M12` is the mutant that ignores CROSS
# entirely (an adversarial reviewer BUILT that one and it survived D5's first
# version), and `X` builds a second synthetic corpus that lands on the refuted
# side.
#
# Two: the step's first answer was wrong and the review caught it. `@floor` had
# been moved to `busybox unit-2018/v3.4.0` = 0.1646, which clears CROSS 0.1581
# -- but containment divides by the SMALLER feature set, and busybox's is 1.46x
# boa's, so the two numbers were read at different denominators. At a matched
# denominator the ordering reverses. The floor is now the CROSS cell itself in
# the new five-field cross-program form, `E7` asserts it is the top of a
# three-program population at ONE denominator, and `E8` measures what a
# compilation-model change alone costs (`@model`, pppd 2.4.4 in two trees).
# The corpus gained three `baseline` rows for that: 18 -> 21.
#
# The R section went 8 -> 22, and the shape of the new fourteen is the point:
# two read the PREMISE of the floor choice rather than its consequence (one
# BusyBox version and one boa version across all six trees), two pin that BASE
# and FLOOR share a denominator, three pin the population E7 takes a maximum
# over, two pin E8's reading, and two sweep the named cell's rank over k in
# both directions -- it is overtaken at k=1, which is what makes the other five
# rows mean something.
#
# suite	bench_total	allowed_skip_label	covers	reason
spec-check	23	-	0	11 -> 23 on 2026-08-30 (tenth session). C8 stopped being about SPEC.md: it now runs over every tracked `.md` outside `upstream/` -- 71 files, 620 tables, ~3,600 rows, ~43,000 code spans -- because how this repository's prose renders is not a property of one file. 量 the first time it ran that way: EIGHT ragged rows against a census that had said six, because that census had looked at three files. Three more shapes came with it, each found by turning the previous one on: C8b a row split over more than one PHYSICAL line (two instances, and one of them blinded every checker here to the rest of its table), C8c a `|`-line belonging to NO table (NINE rows of docs/FINDINGS.md -- the page a reader is pointed at, including the three newest findings -- plus one of bench/README.md; C8 cannot see this by construction, since C8 walks tables and a stranded row is in none), and C9 a code span whose whole content is whitespace (FOUR instances, one of which made a READING wrong rather than a rendering: docs/loader-command-semantics.md annotated BOTH exits of readline's three-way branch with the same empty character; the fourth is the carried-forward row that DESCRIBES the defect, and only running the finished checker over `git archive HEAD` found it -- the count assembled one file at a time said three). Whole reading over the tree at HEAD: C8 8, C8b 2, C8c 10, C9 4 -- 24 defects in six files. The twelve new case lines are ten fixture controls plus their summary and the sweep's own report. T1 is the POSITIVE one and is why the rest mean anything -- a checker that fires on everything passes every mutation; T5 is a control on that control (with the fence mask off, the clean fixture must go red); T7 refuses on a population that is empty, has no SPEC.md, or descends into upstream/. The fixture is built in the process, not committed, so all twelve run anywhere git does
binsim	24	-	0	-
test-binsim	96	the six vendor trees	22	needs $FWRE_WORK/extracted -- six vendor firmware trees, one of which is this unit's own flash dump, so they can never be committed. Unlike test-hazlint this suite does NOT fail without them: binsim's twenty-four controls and the whole corpus path (manifest, both matrices, the void verdict, the floor verdict, the five-field cross-program cell, BASE/FLOOR) run against synthetic ELFs built by the suite, so a runner exercises everything except the twenty-two assertions about the real six. 讀 2026-08-27 with $FWRE_WORK pointed at an empty directory: 74 ok / 0 FAIL / 1 skip line covering 22, which closes against 96
test-file-modes	3	-	0	-
test-gitignore	21	src-vendor (symlink)	1	18 -> 21 on 2026-08-30: `ci-out/` had never been ignored and the pre-push census is what creates it -- three cases, because one .gitignore line is not one claim (the directory, a file inside it, and `ci-out.md` which must NOT be ignored, the case that separates `ci-out/` from a bare prefix). All three run anywhere. needs a filesystem that can make symlinks; MSYS/Git Bash cannot, and until 2026-08-25 that killed the whole suite under errexit on the machine the push happens from. CI runs on Linux, so this skip should NOT appear
test-console-capture	46	-	0	29 -> 40 on 2026-08-30 with the terminator guard and the two metadata fields (R3-9). Eleven cases, of which **seven are controls** under this file's own definition (a case whose id begins `N` — the tool must refuse, or a mutant must break a case above); the suite's header count moves 17 → 24 by exactly those seven: N18/N20 (the refusal, and that an explicit `--seconds 0 --idle 0` is the same request in longhand), N19 (it fires before the port is opened -- the ordering _check_send exists for), N21 (the sandwich: a 127-char --send with no terminator must hit the TERMINATOR refusal, which proves the guard sits after the length check and before the port, from one command), N22 (both metadata fields move with their arguments, so they are recorded rather than constant), N23 and N24 (the two mutations -- guard dead, fields hardcoded). P13 is not a duplicate of P12: a guard written on --seconds alone passes P12 and refuses every --idle capture, including RUNSHEET D1, whose measured quantity IS a silence. 🔴 P4 CHANGED rather than being added to: it now passes --seconds 1, because its assertion is that a 127-character line REACHES the port, and 量 2026-08-30 it is the only one of this file's four terminator-less invocations that the guard reaches -- N4, N7 and N8 are refused inside _check_send first. All eleven run on a stock runner (a pty, no device), so this row adds 11 to the run total and 0 to `not-run-total`. 🔄 That total is **455**, not the 452 this sentence said when it was written: `flashwin` arrived in the same session and moved it by 3. A row that names the total it does not change still has to name it correctly 🔄 40 -> 46 the same day, and the reason is the only kind that counts: tools/test-console-capture-mutants.py ran 25 mutants of the terminator guard against those forty cases and TEN survived. They fell into four classes and not one of the forty could see a class rather than an instance. N25/N26 close WAIVER (an early `return` on any flag the cases leave at default -- `if args.esc > 0: return` passed all forty, and `--esc 25` is A-catch's own shape; 量 on a pty that mutant gives rc=124 with the .meta.json lost). N27 closes CONTRACT, both halves in one case: no case asserted an exit code, so `SystemExit(0)` was green and a card written `cmd || abort` would read a refusal as success; and none looked at stdout, so a refusal printed there was green too. N28 closes MESSAGE (one substring passed a refusal naming `--timeout`, a flag that does not exist). N29/N30 close POSITION, which N21 only appeared to cover: N21 sends 127 characters, a line _check_send ACCEPTS, so it passes whether or not the guard sits above it -- N29 sends 128 and requires the LENGTH refusal, and N30 pre-creates the output files and requires the TERMINATOR refusal ahead of the overwrite one. All six drive --port /dev/null and add 0 to not-run-total
test-console-capture-mutants	25	-	0	arrives 2026-08-30 (tenth session), and it exists because test-console-capture reported 40/40 while TEN mutations of the guard it had just gained were alive. "Nine survived" had been a sentence in LOG.md that nothing re-ran; this is what makes it a number that can go red. Same shape as test-rbcheck.py. Each row edits console-capture.py at anchors that must occur EXACTLY ONCE -- a moved anchor is reported as a SURVIVOR, never skipped -- and requires the WHOLE of test-console-capture.sh to go red against the result; a proxy for the suite would be a different claim. The 25 are 8 WAIVER, 5 CONDITION, 3 POSITION (a move is two edits, so writing it as one would be a delete), 3 CONTRACT/MESSAGE, 4 METADATA, and 2 on _check_send itself -- those last two are there because if either survives, the guard's cases are covering for _check_send's and P1 is being killed by luck. It refuses outright if the unmutated suite is not green, since every mutation would then "kill" on a suite that was already red. Mutants run 8 at a time because the cases are sleep-bound (ptys and played gaps), not CPU-bound: 量 on this host, 336 s wall for 24 against an 84 s baseline. Needs a pty and python3-serial and nothing else -- no device, no $FWRE_WORK -- so all 25 run here and add 0 to not-run-total
verify-backup-copy	4	-	0	-
ci-census	19	-	0	-
test-opcount	29	hardcoded fixture	1	needs binutils-mips-linux-gnu; CI installs it, so this skip should NOT appear. 15 -> 24 -> 29 on 2026-08-28 (the last five out of the adversarial review: P6/P7/P9 pin that the control-did-not-fire guard covers BOTH verdicts and not just the zero, and P8 pins the codeness filter with a data island -- three mutants that passed the 24-case suite all die on the 29): P2/N3/N4 for --pairs, the unaligned-access idiom rather than the bare opcode, and P3-P5 for --mips16, the precondition the docstring's superset claim turned out to need
